Timestamp,Jenis Kelamin,Usia,Program Studi,Semester Saat Ini,IPK,Apakah Anda pernah menggunakan chatbot AI untuk belajar? ,Chatbot AI yang paling sering Anda gunakan,Berapa lama Anda telah menggunakan chatbot AI? ,Seberapa sering Anda menggunakan chatbot AI untuk kegiatan belajar dalam satu minggu? ,Rata-rata durasi penggunaan chatbot AI dalam satu hari ,Untuk kegiatan apa chatbot AI paling sering digunakan? ,Mata kuliah yang paling sering dibantu chatbot AI ,Chatbot AI membantu saya memahami materi kuliah yang sulit. ,Penjelasan yang diberikan chatbot AI mudah dipahami. ,Chatbot AI membantu saya mempelajari topik baru dengan lebih cepat.,Chatbot AI membantu saya menyelesaikan tugas lebih cepat ,Chatbot AI meningkatkan efisiensi waktu belajar saya,Chatbot AI membantu meningkatkan kualitas hasil tugas saya ,Chatbot AI membuat saya lebih termotivasi untuk belajar ,Saya lebih percaya diri dalam memahami materi setelah menggunakan chatbot AI ,Saya sering menggunakan chatbot AI sebelum mencari sumber belajar lainnya ,Saya merasa kesulitan menyelesaikan tugas tanpa bantuan chatbot AI ,Saya terlalu bergantung pada chatbot AI dalam proses belajar ,Secara keseluruhan saya puas menggunakan chatbot AI untuk membantu proses belajar ,Apakah Anda akan terus menggunakan chatbot AI untuk kegiatan belajar di masa depan?
08/06/2026 10:51:48,Laki-Laki,21,Akuntansi,1,3,Ya,ChatGPT,6–12 bulan,> 10 kali,30–60 menit,Mengerjakan tugas,Data,3,3,4,4,3,4,4,4,4,4,3,4,4
09/06/2026 8:23:35,Perempuan,24,Informatika,4,"3,86",Ya,ChatGPT,> 1 tahun,3–5 kali,1–2 jam,Mengerjakan tugas,Web pemrograman,4,4,4,3,3,3,3,3,3,3,4,4,3
10/06/2026 17:53:54,Laki-Laki,20,Rekayasa Keamanan Siber,4,"3,8",Ya,Gemini,> 1 tahun,6–10 kali,> 2 jam,"Memahami materi kuliah, Mengerjakan tugas, Mencari referensi, Membantu coding, Lainnya",Jaringan dan Pemrograman,5,5,5,3,3,3,5,3,5,5,5,4,5
10/06/2026 18:08:19,Laki-Laki,21,Teknik Komputer,4,"3,7",Ya,Gemini,3–6 bulan,6–10 kali,> 2 jam,"Memahami materi kuliah, Mengerjakan tugas, Mencari referensi, Membuat ringkasan",Banyak,4,4,4,4,4,4,4,4,4,4,4,4,4
10/06/2026 18:11:31,Laki-Laki,21,Rekayasa Keamanan Siber,6,"3,92",Ya,ChatGPT,> 1 tahun,3–5 kali,30–60 menit,"Memahami materi kuliah, Mengerjakan tugas, Mencari referensi, Membuat ringkasan, Membantu coding, Lainnya",Audit,5,5,5,5,5,3,4,4,4,3,3,4,5
10/06/2026 18:15:40,Perempuan,20,Manajemen Bisnis,6,"3,7",Tidak,Claude,3–6 bulan,> 10 kali,> 2 jam,"Memahami materi kuliah, Mengerjakan tugas, Mencari referensi, Membuat ringkasan, Membantu coding",Business Growth,5,5,5,5,5,4,5,4,4,4,5,5,5
10/06/2026 18:55:33,Perempuan,21,Teknik Informatika,6,"3,89",Ya,ChatGPT,> 1 tahun,> 10 kali,> 2 jam,"Memahami materi kuliah, Mengerjakan tugas, Mencari referensi, Membuat ringkasan, Membantu coding",Pemrograman,5,5,5,5,5,5,5,5,5,5,5,5,5
10/06/2026 21:07:28,Laki-Laki,20,Teknik Rekayasa Komputer Jaringan,4,"3,2",Ya,Claude,3–6 bulan,6–10 kali,30–60 menit,"Memahami materi kuliah, Mengerjakan tugas, Mencari referensi, Membuat ringkasan",Pemrograman,5,2,3,5,5,5,5,5,3,3,4,4,4
10/06/2026 23:16:27,Perempuan,21,Rekayasa Keamanan Siber ,6,"3,95",Ya,Gemini,6–12 bulan,6–10 kali,1–2 jam,"Memahami materi kuliah, Mencari referensi",Lebih sering menggunakan AI saat mengerjakan PBL,4,4,4,4,2,4,3,3,2,2,2,4,4
11/06/2026 0:46:45,Laki-Laki,22,TRKJ,8 atau lebih,"3,6",Ya,ChatGPT,> 1 tahun,1–2 kali,30–60 menit,"Memahami materi kuliah, Mengerjakan tugas, Mencari referensi, Membuat ringkasan",Analisis,5,5,5,5,5,5,5,5,5,1,3,5,3
12/06/2026 13:43:29,Perempuan,17,Sastra jepang,6,"3,4",Ya,ChatGPT,> 1 tahun,> 10 kali,> 2 jam,"Memahami materi kuliah, Mengerjakan tugas, Mencari referensi, Membuat ringkasan, Membantu coding, Lainnya",Percakapan ,5,5,5,5,5,5,5,5,5,5,5,5,5
12/06/2026 13:48:19,Laki-Laki,18,Sastra Mesin,8 atau lebih,,Ya,Claude,> 1 tahun,1–2 kali,> 2 jam,"Memahami materi kuliah, Mengerjakan tugas, Mencari referensi, Membuat ringkasan, Membantu coding, Lainnya",Teknologi Kayu ,5,5,5,5,5,5,5,5,5,5,5,5,5
12/06/2026 17:15:15,Perempuan,20,Teknologi Informasi,6,"3,93",Ya,ChatGPT,> 1 tahun,1–2 kali,<30 menit,"Mengerjakan tugas, Membantu coding",Mata Kuliah Coding dan Manajemen Resiko,4,4,4,5,4,4,4,3,4,2,2,4,4
12/06/2026 17:58:04,Laki-Laki,20,Sistem Informasi,4,"3,6",Ya,Gemini,> 1 tahun,> 10 kali,> 2 jam,"Memahami materi kuliah, Mengerjakan tugas, Mencari referensi, Membuat ringkasan, Membantu coding",Coding,5,5,5,5,4,4,4,4,4,3,2,5,5
12/06/2026 20:32:16,Perempuan,21,SI,4,4,Ya,ChatGPT,> 1 tahun,3–5 kali,30–60 menit,"Memahami materi kuliah, Mengerjakan tugas, Mencari referensi, Membuat ringkasan, Membantu coding",SISTEM INFORMASI MANAJEMEN,5,5,5,5,5,5,5,5,5,5,5,5,5
13/06/2026 13:14:43,Laki-Laki,19,Teknik informatika ,2,"3,54",Ya,Gemini,6–12 bulan,6–10 kali,> 2 jam,"Memahami materi kuliah, Mengerjakan tugas, Mencari referensi, Membuat ringkasan, Membantu coding",Sistem Operasi,5,5,5,5,5,4,5,5,3,4,3,5,5
13/06/2026 19:03:09,Laki-Laki,20,informatika,4,"3,8",Ya,ChatGPT,1–3 bulan,> 10 kali,30–60 menit,"Membuat ringkasan, Membantu coding",Perangkat Lunak,5,5,4,5,4,3,3,4,4,5,5,4,4
14/06/2026 0:29:32,Perempuan,21,Informatika,3,3.78,Ya,Claude,> 1 tahun,6–10 kali,> 2 jam,"Memahami materi kuliah, Mengerjakan tugas, Mencari referensi, Membuat ringkasan, Membantu coding, Lainnya",Web pemrograman,3,4,4,3,3,4,3,4,5,5,5,3,3
14/06/2026 4:40:21,Laki-Laki,22,Sistem Informasi,4,,Ya,Gemini,> 1 tahun,> 10 kali,1–2 jam,"Memahami materi kuliah, Mengerjakan tugas, Membantu coding",Pemrograman Web,5,5,5,5,5,5,5,5,5,3,2,4,5
14/06/2026 4:42:35,Perempuan,24,Sistem Informasi,6,,Ya,DeepSeek,3–6 bulan,3–5 kali,30–60 menit,"Memahami materi kuliah, Mencari referensi, Membuat ringkasan, Membantu coding",Pemrograman Object Oriented,5,5,5,5,5,5,4,3,3,3,3,3,3
14/06/2026 10:04:10,Laki-Laki,22,Informatika,3,3,Ya,ChatGPT,1–3 bulan,3–5 kali,1–2 jam,Lainnya,DATA SIENCE,4,4,4,4,4,4,4,4,3,5,3,2,4
14/06/2026 10:05:03,Laki-Laki,22,Akuntansi,6,3,Ya,Gemini,1–3 bulan,1–2 kali,<30 menit,"Memahami materi kuliah, Mengerjakan tugas, Mencari referensi, Membuat ringkasan",akuntansi,5,5,3,5,2,5,4,3,5,2,5,3,3
14/06/2026 10:05:55,Perempuan,21,Informatika,4,2,Ya,ChatGPT,> 1 tahun,> 10 kali,> 2 jam,Membantu coding,Jaringan,5,5,4,5,5,5,5,5,5,1,5,4,4
14/06/2026 10:06:38,Perempuan,23,Informatika,6,3,Ya,ChatGPT,6–12 bulan,6–10 kali,1–2 jam,"Mengerjakan tugas, Membantu coding",Data ,5,4,5,4,5,4,5,4,5,1,5,4,3
14/06/2026 10:07:25,Perempuan,22,Informatika,6,3,Ya,Claude,> 1 tahun,> 10 kali,> 2 jam,"Memahami materi kuliah, Mengerjakan tugas, Mencari referensi, Membuat ringkasan, Membantu coding",Website Dev,5,5,5,5,5,5,5,5,5,1,5,5,5
14/06/2026 10:08:17,Perempuan,24,Informatika,8 atau lebih,3,Ya,Copilot,> 1 tahun,> 10 kali,> 2 jam,Membantu coding,Jaringan,5,3,3,3,3,3,3,4,3,1,1,3,3